Word 1, Word 2, Frequency
the, face, 3.0
the, spectre, 3.0
the, light, 3.0
the, Danger-light, 3.0
When, he, 2.0
he, heard, 2.0
a, voice, 2.0
voice, thus, 2.0
thus, calling, 2.0
him, he, 2.0
box, with, 2.0
a, flag, 2.0
flag, in, 2.0
hand, furled, 2.0
furled, round, 2.0
round, its, 2.0
its, short, 2.0
short, pole, 2.0
One, would, 2.0
have, thought, 2.0
thought, considering, 2.0
considering, the, 2.0
the, nature, 2.0
ground, that, 2.0
have, doubted, 2.0
doubted, from, 2.0
from, what, 2.0
what, quarter, 2.0
quarter, the, 2.0
voice, came, 2.0
came, but, 2.0
but, instead, 2.0
instead, of, 2.0
looking, up, 2.0
to, where, 2.0
where, I, 2.0
I, stood, 2.0
steep, cutting, 2.0
cutting, nearly, 2.0
nearly, over, 2.0
head, he, 2.0
about, and, 2.0
something, remarkable, 2.0
remarkable, in, 2.0
his, manner, 2.0
manner, of, 2.0
of, doing, 2.0
doing, so, 2.0
so, though, 2.0
though, I, 2.0
have, said, 2.0
said, for, 2.0
for, my, 2.0
my, life, 2.0
life, what, 2.0
was, remarkable, 2.0
remarkable, enough, 2.0
to, attract, 2.0
attract, my, 2.0
my, notice, 2.0
notice, even, 2.0
even, though, 2.0
though, his, 2.0
his, figure, 2.0
figure, was, 2.0
was, foreshortened, 2.0
foreshortened, and, 2.0
and, shadowed, 2.0
shadowed, down, 2.0
down, in, 2.0
the, deep, 2.0
deep, trench, 2.0
trench, and, 2.0
and, mine, 2.0
mine, was, 2.0
was, high, 2.0
him, so, 2.0
so, steeped, 2.0
steeped, in, 2.0
glow, of, 2.0
an, angry, 2.0
angry, sunset, 2.0
sunset, that, 2.0
had, shaded, 2.0
shaded, my, 2.0
eyes, with, 2.0
hand, before, 2.0
before, I, 2.0
From, looking, 2.0
looking, down, 2.0
Line, he, 2.0
about, again, 2.0
raising, his, 2.0
eyes, saw, 2.0
saw, my, 2.0
my, figure, 2.0
figure, high, 2.0
Is, there, 2.0
there, any, 2.0
any, path, 2.0
path, by, 2.0
can, come, 2.0
and, speak, 2.0
speak, to, 2.0
He, looked, 2.0
looked, up, 2.0
me, without, 2.0
without, replying, 2.0
replying, and, 2.0
down, at, 2.0
at, him, 2.0
him, without, 2.0
without, pressing, 2.0
pressing, him, 2.0
him, too, 2.0
too, soon, 2.0
soon, with, 2.0
repetition, of, 2.0
my, idle, 2.0
idle, question, 2.0
Just, then, 2.0
then, there, 2.0
there, came, 2.0
came, a, 2.0
vague, vibration, 2.0
earth, and, 2.0
and, air, 2.0
air, quickly, 2.0
quickly, changing, 2.0
changing, into, 2.0
into, a, 2.0
violent, pulsation, 2.0
pulsation, and, 2.0
and, an, 2.0
an, oncoming, 2.0
oncoming, rush, 2.0
rush, that, 2.0
that, caused, 2.0
caused, me, 2.0
to, start, 2.0
start, back, 2.0
though, it, 2.0
had, force, 2.0
force, to, 2.0
to, draw, 2.0
draw, me, 2.0
me, down, 2.0
When, such, 2.0
such, vapour, 2.0
vapour, as, 2.0
as, rose, 2.0
